Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,992623,23005.252,1372,31.798,0,8515,197.346,6,0.139,0
Uruguay,Americas,992035,28558.207,816,23.491,0,7529,216.741,3,0.086,0
Mongolia,Western Pacific,988879,30164.476,1958,59.726,0,2132,65.034,1,0.031,0
Latvia,Europe,959019,50271.613,2627,137.707,450,6083,318.87,10,0.524,0
Saudi Arabia,Eastern Mediterranean,824640,2368.711,489,1.405,0,9435,27.101,10,0.029,0
Azerbaijan,Europe,823805,8124.971,221,2.18,44,9967,98.302,10,0.099,2
Paraguay,Americas,718049,10067.23,69,0.967,0,19608,274.909,2,0.028,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703036,13781.199,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,693725,40769.581,1087,63.882,0,1532,90.034,2,0.118,0
Sri Lanka,South-East Asia,671465,3135.746,96,0.448,10,16785,78.386,2,0.009,1
Kuwait,Eastern Mediterranean,662510,15513.382,151,3.536,0,2569,60.156,0,0,0
Dominican Republic,Americas,647868,5972.284,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,632865,1163.145,343,0.63,0,19486,35.813,0,0,0
Estonia,Europe,608332,45774.491,321,24.154,0,2757,207.453,0,0,0
Cyprus,Europe,606287,68275.179,3625,408.218,0,1210,136.26,10,1.126,0
Republic of Moldova,Europe,594348,14733.601,278,6.891,0,11906,295.144,6,0.149,0
Venezuela (Bolivarian Republic of),Americas,546489,1921.825,352,1.238,28,5825,20.485,2,0.007,1
Egypt,Eastern Mediterranean,515420,503.662,8,0.008,0,24798,24.232,0,0,0
Libya,Eastern Mediterranean,507060,7379.398,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,494202,429.877,83,0.072,0,7572,6.586,0,0,0
Réunion,Africa,478855,53484.707,0,0,0,899,100.412,0,0,0
Qatar,Eastern Mediterranean,474111,16456.171,1524,52.897,0,684,23.741,0,0,0
Honduras,Americas,457459,4618.649,132,1.333,0,11043,111.494,2,0.02,0
Armenia,Europe,445513,15034.688,116,3.915,0,8709,293.902,0,0,0
Bosnia and Herzegovina,Europe,400299,12201.206,170,5.182,24,16188,493.414,5,0.152,0
Oman,Eastern Mediterranean,399027,7813.907,86,1.684,0,4628,90.627,0,0,0
North Macedonia,Europe,344531,16537.118,189,9.072,0,9567,459.206,3,0.144,0
Kenya,Africa,340600,633.423,613,1.14,0,5680,10.563,2,0.004,0
Zambia,Africa,333685,1815.088,0,0,0,4017,21.851,0,0,0
Albania,Europe,332088,11539.648,127,4.413,18,3594,124.887,1,0.035,0
Botswana,Africa,326324,13876.52,0,0,0,2782,118.301,0,0,0
Luxembourg,Europe,304770,48676.906,914,145.981,214,1154,184.313,3,0.479,0
Montenegro,Europe,283402,45123.252,218,34.71,27,2788,443.905,1,0.159,0
Kosovo[1],Europe,272153,15156.104,7,0.39,0,3192,177.761,0,0,0
Algeria,Africa,270952,617.892,71,0.162,0,6881,15.692,0,0,0
Mauritius,Africa,268397,21104.242,0,0,0,1033,81.226,0,0,0
Nigeria,Africa,266242,129.156,50,0.024,0,3155,1.531,0,0,0
Zimbabwe,Africa,257893,1735.143,0,0,0,5606,37.718,0,0,0
Brunei Darussalam,Western Pacific,248861,56885.245,0,0,0,137,31.316,0,0,0
Uzbekistan,Europe,245177,732.545,287,0.858,61,1637,4.891,0,0,0
Mozambique,Africa,230543,737.609,0,0,0,2224,7.116,0,0,0
Martinique,Americas,223877,59658.375,81,21.585,0,1057,281.668,3,0.799,0
Lao People's Democratic Republic,Western Pacific,216397,2974.3,94,1.292,16,757,10.405,0,0,0
Iceland,Europe,207003,56848.028,172,47.235,0,219,60.143,0,0,0
Kyrgyzstan,Europe,206483,3164.883,19,0.291,0,2991,45.845,0,0,0
Afghanistan,Eastern Mediterranean,204610,525.607,437,1.123,0,7829,20.111,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Guadeloupe,Americas,197105,49260.979,380,94.971,0,993,248.173,0,0,0
Maldives,South-East Asia,185549,34326.345,95,17.575,0,310,57.35,1,0.185,0
Trinidad and Tobago,Americas,185094,13225.837,145,10.361,145,4263,304.611,6,0.429,6
Ghana,Africa,170972,550.228,0,0,0,1461,4.702,0,0,0
Namibia,Africa,169929,6687.735,0,0,0,4080,160.573,0,0,0
Uganda,Africa,169568,370.713,82,0.179,0,3630,7.936,0,0,0
Jamaica,Americas,152381,5145.978,0,0,0,3351,113.165,0,0,0
Cambodia,Western Pacific,138007,825.452,11,0.066,4,3056,18.279,0,0,0
Rwanda,Africa,132611,1023.848,0,0,0,1467,11.326,0,0,0
Cameroon,Africa,123993,467.09,0,0,0,1965,7.402,0,0,0
Malta,Europe,115660,22477.282,113,21.96,19,808,157.026,0,0,0
Barbados,Americas,103545,36031.318,121,42.105,0,564,196.259,4,1.392,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
French Guiana,Americas,94421,31612.551,112,37.498,0,411,137.605,0,0,0
Democratic Republic of the Congo,Africa,93466,104.36,0,0,0,1447,1.616,0,0,0
Senegal,Africa,88842,530.592,14,0.084,0,1968,11.754,0,0,0
Malawi,Africa,88029,460.163,11,0.058,0,2896,15.139,211,1.103,0
Côte d’Ivoire,Africa,87862,333.085,16,0.061,0,829,3.143,0,0,0
Suriname,Americas,81228,13846.5,0,0,0,1392,237.287,0,0,0
French Polynesia,Western Pacific,76827,27349.524,0,0,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74818,26206.138,0,0,0,314,109.983,0,0,0
Eswatini,Africa,73708,6353.24,90,7.758,0,1422,122.569,0,0,0
Guyana,Americas,71499,9090.181,46,5.848,28,1281,162.863,0,0,0
Belize,Americas,68988,17349.885,16,4.024,16,687,172.775,0,0,0
Fiji,Western Pacific,68287,7617.534,17,1.896,0,878,97.942,0,0,0
Madagascar,Africa,66859,241.447,71,0.256,0,1411,5.096,0,0,0
Sudan,Eastern Mediterranean,63595,145.031,34,0.078,0,4981,11.359,1,0.002,0
Mauritania,Africa,63414,1363.842,7,0.151,0,997,21.442,0,0,0
Cabo Verde,Africa,62686,11274.724,40,7.194,0,410,73.743,0,0,0
Bhutan,South-East Asia,62460,8094.784,30,3.888,0,21,2.722,0,0,0
Jersey,Europe,62317,57810.123,0,0,0,141,130.803,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57382,327.885,8,0.046,0,3163,18.074,0,0,0
Burundi,Africa,50639,425.868,65,0.547,0,15,0.126,0,0,0
Seychelles,Africa,49380,50209.971,0,0,0,171,173.874,0,0,0
Guam,Western Pacific,49235,29171.975,61,36.143,0,406,240.557,2,1.185,0
Gabon,Africa,48959,2199.679,0,0,0,306,13.748,0,0,0
Andorra,Europe,46824,60601.825,160,207.08,160,156,201.903,1,1.294,1
Papua New Guinea,Western Pacific,45819,512.114,98,1.095,0,668,7.466,0,0,0
Curaçao,Americas,45536,27750.117,29,17.673,0,294,179.167,1,0.609,0
Aruba,Americas,43494,40737.688,71,66.501,0,235,220.108,1,0.937,0
Mayotte,Africa,40612,14886.278,197,72.21,197,187,68.545,0,0,0
United Republic of Tanzania,Africa,40311,67.484,159,0.266,0,845,1.415,0,0,0
Togo,Africa,39320,474.952,4,0.048,0,290,3.503,0,0,0
Guinea,Africa,38153,290.517,0,0,0,464,3.533,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37439,9520.552,10,2.543,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33832,296.706,0,0,0,860,7.542,0,0,0
Mali,Africa,32749,161.717,8,0.04,0,742,3.664,0,0,0
Guernsey,Europe,32666,50670.1,104,161.32,0,65,100.825,0,0,0
Cayman Islands,Americas,31194,47465.003,0,0,0,36,54.778,0,0,0
Saint Lucia,Americas,29692,16169.735,38,20.694,16,408,222.19,1,0.545,0
Benin,Africa,27922,230.319,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27254,171.482,11,0.069,0,1361,8.563,0,0,0
Congo,Africa,25375,459.851,45,0.816,0,386,6.995,0,0,0
United States Virgin Islands,Americas,23458,22463.969,45,43.093,4,124,118.746,0,0,0
Timor-Leste,South-East Asia,23320,1768.75,8,0.607,2,138,10.467,0,0,0
Micronesia (Federated States of),Western Pacific,22032,19154.43,0,0,0,58,50.425,0,0,0
Solomon Islands,Western Pacific,21884,3185.982,321,46.733,0,153,22.275,0,0,0
San Marino,Europe,21798,64228.888,43,126.702,0,119,350.639,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Liechtenstein,Europe,20796,53671.252,39,100.653,0,86,221.953,0,0,0
Gibraltar,Europe,20166,59855.748,45,133.567,0,110,326.497,2,5.936,0
Grenada,Americas,19616,17432.88,12,10.664,3,237,210.624,0,0,0
Bermuda,Americas,18463,29648.483,35,56.204,35,151,242.481,2,3.212,2
South Sudan,Africa,18339,163.833,2,0.018,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17085,1217.761,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15949,8038.243,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15386,25992.499,0,0,0,17,28.719,0,0,0
Central African Republic,Africa,15288,316.537,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,15219,229.736,16,0.242,0,245,3.698,0,0,0
Monaco,Europe,15165,38642.85,108,275.201,15,65,165.63,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12580,520.551,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12034,31128.586,2,5.173,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,10943,25518.866,12,27.984,0,89,207.546,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9578,45794.884,24,114.75,0,31,148.219,0,0,0
Saint Vincent and the Grenadines,Americas,9462,8528.935,3,2.704,0,116,104.561,0,0,0
Niger,Africa,9433,38.969,3,0.012,0,314,1.297,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,8925,1026.333,0,0,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8262,14968.205,0,0,0,34,61.598,0,0,0
Liberia,Africa,8014,158.452,2,0.04,0,294,5.813,0,0,0
Sierra Leone,Africa,7758,97.255,0,0,0,125,1.567,0,0,0
Chad,Africa,7637,46.494,6,0.037,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6552,12317.642,1,1.88,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6431,16609.846,0,0,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6275,2863.218,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5572,30798.143,42,232.147,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5336,53980.779,4,40.465,0,5,50.582,0,0,0
Nauru,Western Pacific,4618,42625.069,8,73.842,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3233,55789.474,3,51.769,0,1,17.256,0,0,0
Saint Helena,Africa,2159,35562.51,44,724.757,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,1555,13186.906,1089,9235.075,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1205,38388.022,1,31.857,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,733,37920.331,1,51.733,0,2,103.466,0,0,0
Niue,Western Pacific,92,5686.032,7,432.633,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
